,,,,
,성능 평가 지표,,,
,No.,질문지,질문에 따른 예상 정답,LLM 질문 답변 (Neo4j Graph Database)
,1,이번 학기에 폐강이 예상되는 교과목은 어떤 것이 있나요?,"서양철학의 이해, 사회학의 이해, 취업전략과사회진출, 국가안보론, 한국근현대사, 기업가정신, 21세기 정치와 사회, 언어와 과학, 한국 고대사 등이 있습니다.",
,2,수강신청 변경기간이 어떻게 되나요,수강신청 변경 기간은 8/26 월 10시 ~ 8/30 금 17시입니다.,
,3,학위수여식 일정을 알려주세요,학위수여식은 2024년 8월 23일 금요일 11시부터 약 1시간 정도 소요될 예정이고 장소는 한국항공대학교 대강당입니다.,
,4,울산과학대학교와의 학점교류에 대한 정보를 주세요,"울산과학대학교와의 학점교류와 관련된 내용입니다. IOT 기술산업응용 과목이 있으며 신청 자격은 한국항공대학교 재학생(전체학기 학점평균 3.0 이상), 신청 기한은 8/12(월) 오후 15시까지 입니다.",
,5,홍익대학교에서 학점교류 수강을 하고 싶어요,관련된 내용은 홍익대학교 학사지원팀 (02-230-1088)에 문의하십시오.,
,6,한성대학교 학점교류 신청 기한이 언제까지죠?,한성대학교 학점교류 지원 기한은 2024.8.6(화) 16:00까지입니다.,
,7,학기재수 신청에 대한 정보를 주세요,학기재수의 신청대상은 해당학기 재학생 중 학기말 성적 평균평점이 1.80 미만인 자 또는 학기당 3과목 이상의 성적이 F인 자입니다. 신청 기간은 2024.7.16(목) ~ 7.24(수) 09:00 ~ 16:00 까지입니다.,
,8,복수전공 신청 시 제출해야하는 서류가 있나요?,복수전공 신청 시 제출해야 하는 서류는 다음과 같습니다. 복수전공 제출서류 : ■ 복수전공 신청원 1부 ■ 복수전공 선수과목 지정서 1부 ■ 복수전공 인정과목 지정서 1부 ■ 복수전공 과목 신청서 1부 ■ 성적증명서(열람용) 1부,
,9,1학기 강의평가 기간이 언제인가요,1학기 강의평가 기간은 다음과 같습니다. 2024.6.17(월) ~ 2024.7.12(금) (4주),
,10,공과대학 융합전공 이수확인서 제출은 언제까지인가요,이수확인서 제출 기간은 다음과 같습니다. 2024.7.8(월) ~ 7.12(금),
,11,서울대학교 학점교류 시 신청가능학점이 몇 학점인가요,서울대학교와 학점교류 시 신청할 수 있는 최대 학점은 6학점입니다.,
,12,조기졸업 신청 자격을 알려주세요,조기졸업 신청 자격은 다음과 같습니다.  가. 2학년 이상 수료자  - 2012학번 이전 : 70학점 이상 이수  - 2013학번 이후 : 65학점 이상 이수  나. 졸업 시 전 학년 통산 평점평균 4.0이상 가능자  다. 재학 중 성적경고가 없는 자  ※ 조기졸업 신청자격과 조기졸업 요건은 별개임  ※ 7학기 진입 전 신청해야 함(7학기 이수 중에는 신청 불가),
,13,초과학기 신청서 제출장소가 어디죠?,초과학기 신청서 제출장소는 교무팀 (본관 108호) 입니다.,
,14,성적경고자 학점 기준은?,성적경고자 학점 기준은 다음과 같습니다. 평점평균 1.80 미만인 자,
,15,계절학기 성적 정정기간 알려줘,2024 학년도 하계 계절학기 성적 정정 기간은 다음과 같습니다. 2024.7.24(수),
,16,수강지도 상담은 어디서 신청할 수 있죠?,수강지도 상담은 역량관리시스템 (scm.kau.ac.kr) 에서 신청하실 수 있습니다.,
,17,홍익대학교 학점교류와 관련해서 어디에 문의하면 되죠?,홍익대학교와 진행하는 학점교류에 대해 문의하시려면 홍익대학교 학사지원팀 (02-320-1088) 에 문의하시면 됩니다.,
,18,성신여자대학교 학사지원팀 전화번호?,성신여자대학교 학사지원팀의 연락처는 다음과 같습니다. 02-920-7019,
,19,미래자동차 분야 대학 학점교류에 대해서 어디로 문의할 수 있나요?,한국항공대학교 첨단분야 혁신융합대학사업단 (02-2075-0662 / khj@kau.ac.kr) 에 문의하시면 됩니다.,
,20,학위수여식 때 학위복은 어디서 대여받을 수 있나요?,"학부생 학위복 대여 관련 안내 등의 안내는 졸업준비위원회에서 주관하며, 세부내용은 아래의 내용을 참조하십시오. - 카카오톡 오픈채팅방 : ‘한국항공대학교 졸업준비위원회’ 검색 - 인스타그램 : @kai_graduation * 학부생 졸업관련 별도 공지(졸업준비위원회) 는 이번주 중으로 홈페이지 공지 예정입니다.",
,21,한국항공대 교무팀 연락처를 주세요,"다음은 한국항공대학교 교무팀의 연락처입니다. 02-300-0012, 02-300-0364, 02-300-0457, 02-300-0014 kyomu@kau.ac.kr 본관 108호",
,22,연세대학교 학점교류를 신청하려는데 자격 조건이 있나요?,1. 신청자격 :  본교 재학생(초과학기생 제외) ※ 첨부된 파일 '학점교류 수강안내'의 안내사항을 꼭 숙지하여 학점교류 신청 및 수강신청 진행요망,
,23,차세대통신 소속 대학엔 어떤 학교가 있죠?,"(※ 차세대통신 소속 대학: 한국항공대학교, 국민대학교, 서울시립대학교, 울산과학대학교, 전남대학교)",
,24,초과학기 등록신청 대상자가 어떻게 되나요?,"대상자: 2023학년도 후기 졸업대상자 중 수료대상자로 다음 학기 학점등록 희망자 복수, 부전공, 융합전공 학점취득 희망자 또는 기타 사유로 학점취득희망자 졸업요건 미충족 등의 졸업불가 대상자는 제출대상 아님 (졸업요건 미충족자는 별도 신청 없이 자동으로 초과학기로 진입이 됨) ※ 수료대상자란: 졸업요건 충족 + 졸업인증제 미통과자",
,25,항공 경영대학 융합전공 신청자 이수에 대한 내용을 알려주세요,제출대상자는 2024년 8월 졸업사정 대상자 중 항공 경영대학 항공 경영융합전공 이수요건을 충족한 졸업예정자입니다. 제출 기간은 2024.7.10 (수) ~ 7.16 (화) 입니다.,
,26,복수전공 신청 시 서류 제출은 어디로 하면 되나요?,제출장소 : 교무팀 (본관 108호),
,27,마이크로 디그리에 대한 내용을 알려주세요,"마이크로 디그리는 다전공 대비 낮은 이수요건, 차세대통신 분야 핵심 과목 이수를 통한 관련 산업 인재육성, 차세대통신 마이크로디그리 이수증 발급 등의 특장점이 있습니다.",
,28,사회봉사 과목 학점인정 서류 제출 기간이 언제까지죠?,제출기간 : 2024. 6. 17(월) ~ 21(금) 기말시험기간 내,
,29,ai 융합전공 신청자 조건을 알려주세요,"1. 신청 대상 : 2024학년도 2학기 기준 1학년 이상 수료한 학부 재학생  단, 8학기 이상 이수자 중 당해 학기 졸업요건 충족자는 지원 불가",
,30,인하대학교 관련 문의는 어디로 해야하나요?,문의 : 인하대학교 교무처 학사관리팀 (032)860-7042,
,31,현장실습 신청 기간이 언제인가요?,2024년 7월 19일 ~ 2024년 7월 28일,
,32,명지대학교 학점교류 수강은 어떻게 하나요?,"온라인신청(학사공지 ""학점교류신청 시스템 신설 안내"" 참조)",
,33,졸업요건에 대해 알려주세요.,"총 이수학점 130학점 이상, 교양필수 및 전공필수과목 전 학점 취득, 전 학년 평점평균 2.00 이상, 졸업인증제 통과",
,34,성적 확인 방법에 대해 알려주세요.,종합정보시스템>교과정보>성적정보>학기성적조회에서 확인할 수 있습니다. ,
,35,숙명여자대학교 학점교류 관련 문의는 어디로 해야할까요?,숙명여대 학사팀 (02) 710-9439 ,
,36,수강지도 상담을 하지 않게되면 받는 불이익이 있나요?,상담 미완료시 수강신청 불가(수강신청페이지 로그인 불가),
,37,서울과학기술대학교 학점교류 신청 기한이 언제까지 인가요?,학점교류 신청 대상 및 기한 :2024.07.25(목) 15:00까지,
,38,한국해양대 학점교류는 어디로 신청해야하나요?,신청장소 : 본 대학교 교무팀(본관 108호) (02-300-0457),
,39,기말 강의평가를 하지 않을 경우 받는 불이익이 있나요?,기말 강의평가를 하지 않은 학생은 이번 학기 성적열람이 제한됩니다.,
,40,기말시험 실시 기간을 알려주세요.,기간 : 2024. 6. 17.(월) ~ 6. 21.(금) (5일),
,41,학기재수 신청대상에 대해 알려주세요.,학기말 성적 평균평점이 1.80 미만인 자 또는 학기당 3과목 이상의 성적이 F인 자,
,42,어떤 과목이 폐강하는지 기준을 알려주세요.,"설강기준 미달  ※ 설강기준 : 수강인원 전공 15명 및 교양 25명 이상(단, 교과목별 일부 상이)",
,43,국민대학교 학점교류 신청 가능학점은 얼마인지 알려주세요.,수강신청 가능학점: 9학점 이내,
,44,서울시립대학교 학점교류 신청기한을 알려주세요.,7/14(일) 오후 10시까지 (※ 기존 공지에서 기간 연장),
,45,부전공 신청시 신청요건이 있나요?,"복수전공 / 부전공, 신청대상 : 1학년 과정 이상을 수료한 자 (33학점이상 이수) (단, 졸업대상자는 졸업인증 미통과자 + 초과학기 신청자만 신청가능), 대상학과 : 전 학부(과) ※ 단, 항공운항학과, 영어학과, 항공우주법전공의 복수전공 및 부전공 신청은 불가",
,46,재입학 신청방법에 대해 알려주세요.,"신청방법 : 방문 접수(교무팀/본관 108호) 또는 메일 접수, - E-Mail : kyomu@kau.ac.kr",
,47,현장실습 학기제에 대한 참여요건을 알려주세요.,"가. 3개 학기 이상 이수한 자, 나. 학칙에 의하여 징계받은 사실이 없는 자, 다. 해당 현장실습기관에서 요구하는 조건을 갖춘 자",
,48,K-MOOC 학점 인정 기준에 대해 알려주세요.,"강좌당 총 동영상 시간 x 2, 15시간 이상 20시간 미만 : 1학점 (총 동영상이 7시간 30분 이상 10시간 미만)  ,20시간 이상 : 2학점 (총 동영상시간이 10시간 이상) ,15시간 미만인 강좌는 8개 강좌를 묶어 1학점으로 인정 ",
,49,SPACE 인증제 우수 장학금 신청기간을 알려주세요.,신청기간: 2024.3.11 ~ 2024.5.10,
,50,하계 계절학기 성적정정기간에 대해 알려주세요.,성적정정기간: 2024. 7. 24.(수),
,51,전남대학교 학점교류 신청자격에 대해 알려주세요.,신청 자격 : 한국항공대학교 재학생 (2학기 이상 이수 + 전체학기 학점평균 3.0 이상),
